name,price,speed,modules,price_per_gb,first_word_latency,cas_latency,planks,size
TEAMGROUP T-Force Delta RGB 32 GB,84.99,"[5, 5600]","[2, 16]",2.656,12.857,36.0,2,32
Crucial CT8G48C40U5 8 GB,26.36,"[5, 4800]","[1, 8]",3.295,16.667,40.0,2,8
Kingston KVR13N9S6/2 2 GB,5.0,"[3, 1333]","[1, 2]",2.5,13.503,9.0,2,2
G.Skill Ripjaws V 64 GB,104.99,"[4, 2666]","[2, 32]",1.64,13.503,18.0,2,64
Kingston FURY Beast 32 GB,72.98,"[4, 3200]","[1, 32]",2.281,10.0,16.0,2,32
G.Skill Trident Z Royal 128 GB,546.49,"[4, 4000]","[4, 32]",4.269,9.0,18.0,2,128
G.Skill Ripjaws V 64 GB,179.99,"[4, 4000]","[2, 32]",2.812,9.0,18.0,2,64
ADATA XPG LANCER 32 GB,87.99,"[5, 5200]","[2, 16]",2.75,14.615,38.0,2,32
G.Skill Ripjaws V 16 GB,41.99,"[4, 2400]","[2, 8]",2.624,12.5,15.0,2,16
TEAMGROUP T-Force Xtreem ARGB 16 GB,65.98,"[4, 3600]","[2, 8]",4.124,10.0,18.0,2,16
G.Skill Trident Z5 RGB 32 GB,117.99,"[5, 5600]","[2, 16]",3.687,10.0,28.0,2,32
G.Skill Ripjaws V 64 GB,149.99,"[4, 3600]","[4, 16]",2.344,10.0,18.0,2,64
Corsair Dominator Platinum RGB 32 GB,139.99,"[5, 5200]","[2, 16]",4.375,15.385,40.0,2,32
Klevv CRAS X RGB 16 GB,45.99,"[4, 3600]","[2, 8]",2.874,10.0,18.0,2,16
G.Skill Ripjaws S5 64 GB,209.99,"[5, 6000]","[2, 32]",3.281,10.667,32.0,2,64
Kingston FURY Beast 16 GB,60.93,"[5, 5200]","[1, 16]",3.808,15.385,40.0,2,16
G.Skill Ripjaws S5 64 GB,167.99,"[5, 5200]","[2, 32]",2.625,13.846,36.0,2,64
Corsair Vengeance 192 GB,594.99,"[5, 5200]","[4, 48]",3.099,14.615,38.0,2,192
Corsair Dominator Platinum RGB 32 GB,164.99,"[5, 6000]","[2, 16]",5.156,12.0,36.0,2,32
G.Skill Ripjaws V 128 GB,259.99,"[4, 3200]","[4, 32]",2.031,10.0,16.0,2,128
Corsair Vengeance 8 GB,49.99,"[3, 1600]","[2, 4]",6.249,11.25,9.0,2,8
Corsair Vengeance RGB Pro 16 GB,59.99,"[4, 3000]","[2, 8]",3.749,10.667,16.0,2,16
Kingston ValueRAM 4 GB,30.64,"[2, 800]","[2, 2]",7.66,15.0,6.0,2,4
TEAMGROUP T-Create Classic 64 GB,154.99,"[5, 5600]","[2, 32]",2.422,16.429,46.0,2,64
PNY XLR8 32 GB,58.99,"[4, 3200]","[2, 16]",1.843,10.0,16.0,2,32
Corsair Dominator Platinum RGB 32 GB,453.45,"[5, 5200]","[2, 16]",14.17,14.615,38.0,2,32
Kingston FURY Beast 16 GB,75.7,"[5, 5600]","[2, 8]",4.731,14.286,40.0,2,16
