name,price,type,efficiency,wattage,modular
Super Flower Leadex III ARGB,168.68,ATX,gold,650,Full
EVGA 750 GQ,148.26,ATX,gold,750,Semi
ADATA XPG CORE Reactor 650,99.99,ATX,gold,650,Full
EVGA 600 BQ,159.99,ATX,bronze,600,Semi
Asus TUF Gaming 750G,123.99,ATX,gold,750,Full
be quiet! System Power 9 500 CM,98.29,ATX,bronze,500,Semi
Corsair AX1200i,657.73,ATX,platinum,1200,Full
Thermaltake TOUGHPOWER GF A3,129.99,ATX,gold,850,Full
SeaSonic PRIME Ultra Titanium,338.98,ATX,titanium,1000,Full
be quiet! Pure Power 11,78.59,ATX,gold,500,False
Thermaltake TOUGHPOWER GF A3,159.99,ATX,gold,1050,Full
Super Flower Leadex III ARGB,199.99,ATX,gold,850,Full
ADATA XPG CORE Reactor 750,109.99,ATX,gold,750,Full
Cooler Master Elite V3,67.68,ATX,plus,600,False
be quiet! Pure Power 12 M,94.9,ATX,gold,550,Full
Gigabyte AORUS P GM,164.09,ATX,gold,750,Full
Thermaltake Smart RGB 230V,168.0,ATX,plus,500,False
Cooler Master V650 V2,134.99,ATX,gold,650,Full
Thermaltake Toughpower GX1,80.36,ATX,gold,600,False
SeaSonic FOCUS GX,176.61,ATX,gold,550,Full
Thermaltake Toughpower GF3 TT Premium,126.99,ATX,gold,750,Full
Corsair RM850,226.99,ATX,gold,850,Full
Corsair RM650x (2018),175.0,ATX,gold,650,Full
SeaSonic FOCUS,146.99,ATX,gold,850,Semi
Super Flower Leadex V Platinum Pro,249.99,ATX,platinum,850,Full
SeaSonic G12 GM,125.82,ATX,gold,650,Semi
EVGA SuperNOVA 850 G2,355.99,ATX,gold,850,Full
Thermaltake Toughpower GF3 TT Premium,241.21,ATX,gold,1350,Full
Thermaltake TOUGHPOWER GF A3,179.99,ATX,gold,1200,Full
Cooler Master MasterWatt 550,84.99,ATX,bronze,550,Semi
EVGA SuperNOVA 1000 G5,207.5,ATX,gold,1000,Full
FSP Group Hydro GE,109.99,ATX,gold,650,Full
be quiet! Pure Power 11 600,124.0,ATX,gold,600,Semi
EVGA SuperNOVA 1000 G+,317.0,ATX,gold,1000,Full
EVGA SuperNOVA 750 G6,139.28,ATX,gold,750,Full
FSP Group Hydro GE,89.99,ATX,gold,550,Full
EVGA SuperNOVA 650 P2,144.99,ATX,platinum,650,Full
Fractal Design Ion Gold,154.29,ATX,gold,850,Full
be quiet! Dark Power 13,209.9,ATX,titanium,750,Full
Apevia Prestige,74.98,ATX,gold,1000,False
Silverstone HELA 1200R,238.29,ATX,platinum,1200,Full
EVGA 650BP,74.99,ATX,bronze,650,False
EVGA 500 BQ,114.99,ATX,bronze,500,Semi
Corsair HX1000i,449.0,ATX,platinum,1000,Full
Super Flower Leadex Platinum SE,169.99,ATX,platinum,1200,Full
EVGA SuperNOVA 1000 P6,289.99,ATX,platinum,1000,Full
Corsair RM850x,188.87,ATX,gold,850,Full
SeaSonic PRIME Ultra Titanium,209.99,ATX,titanium,750,Full
Corsair HX1200i,639.0,ATX,platinum,1200,Full
EVGA SuperNOVA 850 G5,198.85,ATX,gold,850,Full
Cooler Master MWE Gold 1250 - V2,199.99,ATX,gold,1250,Full
Corsair RM850x (2018),285.0,ATX,gold,850,Full
Phanteks Revolt SFX,183.99,SFX,platinum,850,Full
Enermax REVOLUTION D.F. 2,129.99,ATX,gold,1050,Full
Cooler Master Elite 400 V3,53.21,ATX,plus,400,False
be quiet! SFX L Power,142.38,SFX,gold,500,Full
EVGA 750 BP,89.99,ATX,bronze,750,False
Corsair CX650F,169.99,ATX,bronze,650,Full
Corsair CX600,178.41,ATX,bronze,600,False
MSI MPG A750G PCIE5,139.99,ATX,gold,750,Full
Corsair SF450,229.99,SFX,gold,450,Full
be quiet! Straight Power 11 850W,158.99,ATX,gold,850,Full
SeaSonic PRIME TX,696.0,ATX,titanium,1300,Full
SeaSonic FOCUS Gold,99.99,ATX,gold,550,Semi
EVGA SuperNOVA 1600 G+,249.0,ATX,gold,1600,Full
FSP Group Hydro G Pro,223.72,ATX,gold,1000,Full
EVGA SuperNOVA 650 G6,110.0,ATX,gold,650,Full
EVGA SuperNOVA 650 P5,127.99,ATX,platinum,650,Full
Silverstone Strider Platinum S,216.63,ATX,platinum,1200,Full
ADATA XPG PYLON,126.49,ATX,bronze,650,False
GAMDIAS KRATOS M1 B,79.98,ATX,bronze,750,False
Gigabyte AORUS P1200W,292.98,ATX,platinum,1200,Full
Corsair RM750x,186.53,ATX,gold,750,Full
Corsair RM750,216.81,ATX,gold,750,Full
Enermax REVOLUTION D.F. 2,149.99,ATX,gold,1200,Full
Fractal Design Ion+ 2 Platinum,326.0,ATX,platinum,860,Full
SeaSonic FOCUS SGX (2021),169.99,SFX,gold,750,Full
SeaSonic G12 GM,131.01,ATX,gold,750,Semi
Corsair VS550 (2018),136.65,ATX,plus,550,False
Thermaltake Toughpower TF1 - TT Premium,399.95,ATX,titanium,1550,Full
Cougar POLAR,254.78,ATX,platinum,1200,Full
Asus ROG Strix,214.82,ATX,gold,650,Full
SeaSonic FOCUS SPX (2021),194.99,SFX,platinum,750,Full
Deepcool DQ750-M-V2L,109.99,ATX,gold,750,Full
Silverstone Extreme 850R Platinum,233.92,SFX,platinum,850,Full
SeaSonic PRIME TX-850,387.8,ATX,titanium,850,Full
be quiet! System Power 9 700 CM,163.41,ATX,bronze,700,Semi
Corsair CXM,170.99,ATX,bronze,750,Semi
Cooler Master V750 Gold i,129.99,ATX,gold,750,Full
be quiet! SFX L Power,128.58,SFX,gold,600,Full
SeaSonic FOCUS,165.69,ATX,platinum,550,Full
Thermaltake Toughpower Grand RGB,149.02,ATX,gold,850,Full
Silverstone FX350-G,91.36,Flex ATX,gold,350,False
be quiet! SFX Power 3 450,101.29,SFX,bronze,450,False
Silverstone Essential,74.98,ATX,gold,550,False
Corsair SF450,218.49,SFX,platinum,450,Full
Phanteks AMP v2,159.99,ATX,gold,1000,Full
