cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD Ryzen Threadripper 1900X,249.99,16955,67.82,2343,9.37,180.0,94.19,8,2017,sTR4,Desktop
Intel Core i7-10700 @ 2.90GHz,268.99,16946,63.0,2922,10.86,65.0,260.71,8,2020,LGA1200,Desktop
Intel Core i9-9900 @ 3.10GHz,458.99,16873,36.76,2863,6.24,65.0,259.58,8,2019,LGA1151,Desktop
AMD Ryzen 5 4500,141.75,16698,117.8,2605,18.38,65.0,256.89,6,2022,AM4,Desktop
AMD Ryzen 5 PRO 4650G,257.36,16428,63.83,2664,10.35,65.0,252.73,6,2020,AM4,Desktop
AMD Ryzen 7 1800X,178.03,16306,91.59,2186,12.28,95.0,171.64,8,2017,AM4,Desktop
AMD Ryzen 7 2700,254.2,15654,61.58,2197,8.64,65.0,240.82,8,2018,AM4,Desktop
AMD Ryzen 7 1700X,168.06,15496,92.21,2074,12.34,95.0,163.12,8,2017,AM4,Desktop
Intel Core i7-11700T @ 1.40GHz,323.0,15271,47.28,2859,8.85,35.0,436.3,8,2021,LGA1200,Desktop
Intel Core i5-11600T @ 1.70GHz,213.0,15254,71.61,2884,13.54,35.0,435.82,6,2021,LGA1200,Desktop
Intel Core i9-10900T @ 1.90GHz,439.0,15134,34.47,2523,5.75,35.0,432.4,10,2020,LGA1200,Desktop
Intel Core i3-12300,143.0,14955,104.58,3673,25.68,60.0,249.26,4,2022,LGA1700,Desktop
AMD Ryzen 7 1700,152.68,14628,95.81,1985,13.0,65.0,225.05,8,2017,AM4,Desktop
Intel Core i5-10600KF @ 4.10GHz,184.98,14575,78.79,2948,15.94,125.0,116.6,6,2020,LGA1200,Desktop
Intel Core i7-9700K @ 3.60GHz,390.99,14550,37.21,2899,7.42,95.0,153.16,8,2018,LGA1151,Desktop
Intel Core i7-8086K @ 4.00GHz,549.0,14550,26.5,2895,5.27,95.0,153.16,6,2018,LGA1151,Desktop
Intel Core i5-10600K @ 4.10GHz,212.97,14534,68.24,2936,13.78,125.0,116.27,6,2020,LGA1200,Desktop
Intel Core i3-12100,122.0,14503,118.88,3549,29.09,60.0,241.72,4,2022,LGA1700,Desktop
Intel Core i7-9700KF @ 3.60GHz,424.99,14499,34.12,2920,6.87,95.0,152.62,8,2019,LGA1151,Desktop
AMD Ryzen 5 2600X,154.39,14053,91.02,2406,15.58,95.0,147.92,6,2018,AM4,Desktop
Intel Core i9-9900T @ 2.10GHz,439.0,13947,31.77,2505,5.71,35.0,398.49,8,2019,LGA1151,Desktop
Intel Core i5-10600 @ 3.30GHz,219.99,13928,63.31,2911,13.23,65.0,214.27,6,2020,LGA1200,Desktop
Intel Core i7-8700K @ 3.70GHz,309.0,13850,44.82,2764,8.95,95.0,145.79,6,2017,LGA1151,Desktop
Intel Core i5-11500T @ 1.50GHz,192.0,13820,71.98,2571,13.39,35.0,394.85,6,2021,LGA1200,Desktop
Intel Core i7-9700F @ 3.00GHz,340.99,13462,39.48,2796,8.2,65.0,207.11,8,2019,LGA1151,Desktop
Intel Core i7-9700 @ 3.00GHz,322.85,13385,41.46,2782,8.62,65.0,205.93,8,2019,LGA1151,Desktop
AMD Ryzen 5 3500X,184.95,13319,72.01,2525,13.65,65.0,204.91,6,2019,AM4,Desktop
AMD Ryzen 5 2600,124.88,13195,105.66,2250,18.02,65.0,202.99,6,2018,AM4,Desktop
Intel Core i7-10700T @ 2.00GHz,447.99,13119,29.28,2661,5.94,35.0,374.82,8,2020,LGA1200,Desktop
Intel Core i5-11400T @ 1.30GHz,182.0,13078,71.86,2549,14.0,35.0,373.67,6,2021,LGA1200,Desktop
Intel Core i5-10500 @ 3.10GHz,209.88,13056,62.21,2785,13.27,65.0,200.86,6,2020,LGA1200,Desktop
Intel Core i7-8700 @ 3.20GHz,260.99,13046,49.99,2662,10.2,65.0,200.71,6,2017,LGA1151,Desktop
AMD Ryzen 5 1600X,169.46,12943,76.38,2183,12.88,95.0,136.25,6,2017,AM4,Desktop
Intel Core i7-7800X @ 3.50GHz,199.99,12864,64.33,2414,12.07,140.0,91.89,6,2017,LGA2066,Desktop
